-69375	12	130.822
-69119	3	36.0488
-69118	1	0.117607
-69102	1	57.4681
-65279	22	6757.29
-65023	460	103327
-65022	47	4323.21
-65006	342	34145.8
-64750	9	720.027
-64734	3	145.801
-64733	2	20.407
-60927	880	459700
-60926	41	19393.5
-60911	20	17161.9
-60910	1513	421205
-60654	799	155441
-60638	254	33138.8
-60637	995	89647
-60365	45	1216.41
-60364	8	185.539
-56831	626	708194
-56830	6	5082.31
-56815	68	67457.3
-56814	533	482225
-56558	1547	883231
-56542	509	249098
-56541	2474	692363
-56285	629	123260
-56269	1206	162751
-56268	1626	120095
-56252	155	5938.76
-55996	69	1004.31
-55995	8	62.5715
-52735	448	393988
-52719	89	101995
-52718	44	34706.9
-52463	28	22982
-52462	1090	975171
-52446	411	312231
-52445	640	380252
-52189	1012	504790
-52173	1180	468628
-52172	2323	580105
-52156	92	11367.7
-51916	65	11732.4
-51900	2123	271966
-51899	1459	92370.9
-51883	432	14393.1
-51627	95	1530.11
-51626	14	24.0147
-48639	221	143708
-48383	56	39110.8
-48367	135	87537.7
-48366	781	523550
-48350	282	202734
-48349	50	33209.2
-48094	48	25394.1
-48093	921	536010
-48077	906	443140
-48076	693	297019
-47820	627	221485
-47804	2103	624393
-47803	1882	311905
-47787	825	90567.3
-47531	2917	252886
-47530	1058	39606.3
-47514	1138	26957.4
-47258	143	776.248
-47257	7	9.70093
-47241	4	16.9874
-44543	71	29434.6
-44287	140	58100.3
-44271	121	56470.3
-44270	485	221329
-44254	44	35150.3
-44014	4	1451.08
-43998	230	103850
-43997	654	315553
-43981	576	237792
-43980	41	32525.4
-43725	76	30108.3
-43724	718	268372
-43708	1393	403709
-43707	720	184642
-43451	171	31993.1
-43435	2979	497346
-43434	1040	105366
-43418	1894	143147
-43162	3109	126001
-43161	289	4830.41
-43145	1762	25684.9
-42889	146	545.754
-42873	5	6.31969
-42872	8	187.806
-40447	8	3901.14
-40191	179	48640.5
-40175	139	40193.7
-40174	249	67411.5
-39918	71	23456.1
-39902	292	96321.4
-39901	367	96805
-39885	176	67158.8
-39629	298	80955.3
-39628	408	102407
-39612	855	211168
-39611	56	22396.5
-39356	91	18272.3
-39355	389	81956
-39339	2033	358377
-39338	361	46435.3
-39322	249	34900.1
-39082	1	180.48
-39066	3431	331782
-39065	84	3460.22
-39050	25	3591.12
-39049	2765	123396
-38793	2825	62412.8
-38777	574	6728.84
-38776	2041	14060.3
-38520	62	112.301
-38504	48	96.5199
-38503	4	0.871111
-36096	3	849.731
-36095	135	21392.9
-36079	118	19303.2
-36078	85	17289.4
-35823	7	970.925
-35822	143	23857.3
-35806	236	42851.4
-35805	256	44396.2
-35789	24	6132.82
-35549	20	1656.79
-35533	431	72620
-35532	278	66859.5
-35516	429	76418.6
-35260	401	50107.1
-35259	270	47113.1
-35243	1315	191128
-34987	152	13749.9
-34986	102	11956.3
-34971	10	384.376
-34970	2724	285229
-34954	164	12250.8
-34953	683	52693.2
-34698	1	1.55723
-34697	3332	168753
-34681	899	33307.1
-34680	2956	55831.9
-34424	1657	19547.7
-34408	1446	10893.5
-34407	1303	3796.92
-34391	12	21.8623
-34135	57	25.2635
-32255	2	1.7451
-32000	3	47.8305
-31999	120	12132.9
-31983	84	11083.7
-31982	18	2464.47
-31727	33	3494.67
-31726	158	16738
-31710	229	25157.1
-31709	79	10494
-31454	3	25.5338
-31453	90	12001.3
-31437	383	44797.2
-31436	149	17988.2
-31420	126	16188
-31181	1	0.229207
-31164	570	67969.6
-31163	143	19167.6
-31148	2	592.169
-31147	644	74173.7
-30891	387	30423.5
-30890	40	2507.65
-30875	46	3738.85
-30874	1648	147807
-30858	43	5898.79
-30618	50	2396.87
-30602	161	11247.8
-30601	2415	138642
-30585	872	42268.6
-30584	742	23811.6
-30329	4	468.323
-30328	2700	75668.6
-30312	2188	34933
-30311	3149	29511.1
-30055	632	3580.98
-30039	2517	9047.59
-30038	845	1196.15
-30022	101	72.9337
-29766	40	7.73042
-27904	5	10.0647
-27903	82	4808.16
-27887	43	1840.39
-27886	8	341.475
-27631	86	4987.82
-27630	115	7043.95
-27614	123	7990.68
-27613	23	2837.76
-27358	28	3483.94
-27357	93	8119.42
-27341	299	23438.4
-27340	60	6657.9
-27324	14	2797
-27085	5	91.6867
-27084	15	393.841
-27069	1	0.363773
-27068	487	41476.7
-27067	57	3889.25
-27052	11	208.136
-27051	192	15790.2
-26795	480	35255.9
-26794	19	1059.45
-26779	72	5087.85
-26778	721	53989.6
-26522	275	13969.1
-26506	256	17246.2
-26505	1365	88581.2
-26489	377	22958.4
-26233	293	13284.6
-26232	1861	61215.5
-26216	1596	39079.7
-26215	659	14164.8
-25960	3	8.7675
-25959	1886	27796.3
-25943	3523	30412.4
-25942	2516	9399.07
-25926	194	266.665
-25686	44	112.519
-25670	2736	4818.52
-25669	393	209.078
-25653	154	55.5814
-25397	5	0.177672
-23535	21	437.801
-23534	38	1784.55
-23518	37	2507.34
-23262	43	1631.79
-23261	48	1231.21
-23246	1	0.414233
-23245	159	7868.48
-23244	21	916.948
-23228	2	36.8709
-22989	42	1693.68
-22988	33	1508.91
-22973	6	214.257
-22972	354	17899.7
-22971	29	1880.72
-22956	9	1176.75
-22955	48	2339.21
-22716	2	63.1084
-22700	8	212.733
-22699	413	21170.6
-22683	68	2884.47
-22682	235	16246.9
-22426	346	16909.4
-22410	223	12068.5
-22409	733	36309
-22153	79	3168.45
-22137	500	17785
-22136	996	33816.1
-22120	689	20450.7
-21864	344	5670.99
-21863	1196	21464.5
-21847	2166	33185.8
-21846	504	5006.14
-21591	14	238.74
-21590	792	7120.03
-21574	3723	17512.9
-21573	985	2207.65
-21557	756	1120.5
-21301	1669	1615.7
-21300	46	17.3744
-21284	130	30.9399
-21028	2	0.0430739
-18603	14	1462.04
-18587	6	33.4339
-18586	12	320.463
-18330	49	1832.01
-18314	55	1642.69
-18313	81	2808.02
-18057	49	2034.56
-18041	133	3672.82
-18040	237	7380.45
-18024	86	3517.12
-17768	227	5161.22
-17767	347	9582.77
-17751	559	9211.75
-17750	3	21.3462
-17495	139	1381.43
-17494	457	5244.61
-17478	1696	14619.8
-17477	302	971.417
-17222	1	0.00124723
-17221	37	95.2747
-17205	2679	6852.5
-17204	57	66.5737
-17189	6	6.07352
-17188	737	694.341
-16932	503	230.569
-16916	30	7.16419
-16915	27	4.3102
