-68266	2119	20094.8
-67993	790	23925
-67977	766	29815.8
-67704	552	31899.9
-63897	1400	24857.2
-63881	1391	47031.9
-63624	412	23817
-63608	1015	66332
-63335	575	56585.3
-63318	261	25048.1
-63045	283	32621.5
-59785	2319	25679.8
-59529	1597	33666
-59528	937	26052.7
-59512	2296	118760
-59239	1468	157620
-59222	203	22582.7
-58966	631	99003.3
-58949	338	38628.4
-58693	183	33674.5
-58403	165	33685.6
-58387	118	20296.7
-55416	3214	65774.5
-55160	1576	59969.4
-55143	2853	242142
-54870	1544	218302
-54854	240	37652.9
-54853	260	51017.6
-54307	259	49875.5
-54291	105	24662
-54034	168	39768.4
-51064	3892	43697
-51047	4437	179902
-50791	1016	64980.7
-50775	529	56339.4
-50774	2553	329088
-50758	351	81619.3
-50501	1146	272746
-50485	484	125847
-50484	210	45302.5
-46678	4104	290436
-46406	1458	230682
-46405	2199	445467
-46389	827	235726
-46132	994	341471
-46116	833	336964
-46115	232	89422.8
-45859	214	119123
-45843	698	284497
-45570	410	196122
-42293	424	74293.1
-42037	1801	326509
-42036	1617	417303
-42020	1468	491717
-41763	665	280121
-41747	1341	668037
-41746	211	114794
-41474	1045	618110
-37667	1154	420066
-37651	2435	1.13638e+06
-37378	2094	1.28579e+06
-33282	3104	1.61035e+06
